0.9288863,1.995,0,0
0.834619,1.995,0.0198,0
0.7330888,1.995,0.0396,0
0.6361509,1.995,0.0594,0
0.5451844,1.995,0.0792,0
0.461174,1.995,0.099,0
0.3848959,1.995,0.1188,0
0.3168195,1.995,0.1386,0
0.2571051,1.995,0.1584,0
0.20563,1.995,0.1782,0
0.1620252,1.995,0.198,0
0.125729,1.995,0.2178,0
0.09604236,1.995,0.2376,0
0.07218418,1.995,0.2574,0
0.05334617,1.995,0.2772,0
0.03873402,1.995,0.297,0
0.02760127,1.995,0.3168,0
0.01927241,1.995,0.3366,0
0.01315578,1.995,0.3564,0
0.008749034,1.995,0.3762,0
0.005636956,1.995,0.396,0
0.003485696,1.995,0.4158,0
0.002033367,1.995,0.4356,0
0.001079476,1.995,0.4554,0
0.0004740985,1.995,0.4752,0
0.0001076627,1.995,0.495,0
-9.789523e-05,1.995,0.5148,0
-0.0001978171,1.995,0.5346,0
-0.0002295277,1.995,0.5544,0
-0.0002181292,1.995,0.5742,0
-0.0001801204,1.995,0.594,0
-0.0001261338,1.995,0.6138,0
-6.288086e-05,1.995,0.6336,0
5.503162e-06,1.995,0.6534,0
7.658477e-05,1.995,0.6732,0
0.0001491068,1.995,0.693,0
0.0002227399,1.995,0.7128,0
0.0002980508,1.995,0.7326,0
0.000376616,1.995,0.7524,0
0.0004611817,1.995,0.7722,0
0.000555661,1.995,0.792,0
0.0006646684,1.995,0.8118,0
0.0007921951,1.995,0.8316,0
0.0009390668,1.995,0.8514,0
0.001099088,1.995,0.8712,0
0.001254322,1.995,0.891,0
0.001370861,1.995,0.9108,0
0.001396871,1.995,0.9306,0
0.001267326,1.995,0.9504,0
0.0009348134,1.995,0.9702,0
