250.778 0.92613 373.981 99654 0.997527
251.223 1.85226 373.795 99309 0.995059
251.667 2.77839 373.61 98965 0.992596
252.112 3.70452 373.425 98622.1 0.990138
252.556 4.63065 373.24 98280.2 0.987685
253.001 5.55678 373.054 97939.3 0.985237
253.446 6.48291 372.869 97599.4 0.982793
253.89 7.40904 372.684 97260.5 0.980355
254.335 8.33517 372.499 96922.6 0.977921
254.779 9.2613 372.313 96585.8 0.975492
255.224 10.1874 372.128 96249.9 0.973068
255.668 11.1136 371.943 95915.1 0.970649
256.113 12.0397 371.758 95581.2 0.968234
256.557 12.9658 371.573 95248.3 0.965824
257.002 13.892 371.387 94916.5 0.96342
257.446 14.8181 371.202 94585.6 0.961019
257.891 15.7442 371.017 94255.7 0.958624
258.335 16.6703 370.832 93926.8 0.956234
258.78 17.5965 370.646 93598.9 0.953848
259.225 18.5226 370.461 93272 0.951467
259.669 19.4487 370.276 92946 0.949091
260.114 20.3749 370.091 92621 0.946719
260.558 21.301 369.906 92297 0.944352
261.003 22.2271 369.72 91974 0.94199
261.447 23.1533 369.535 91651.9 0.939633
261.892 24.0794 369.35 91330.8 0.937281
262.336 25.0055 369.165 91010.7 0.934933
262.781 25.9316 368.979 90691.5 0.93259
263.225 26.8578 368.794 90373.3 0.930251
263.67 27.7839 368.609 90056.1 0.927917
264.115 28.71 368.424 89739.8 0.925588
264.559 29.6362 368.239 89424.4 0.923264
265.004 30.5623 368.053 89110.1 0.920944
265.448 31.4884 367.868 88796.6 0.918629
265.893 32.4146 367.683 88484.1 0.916319
266.337 33.3407 367.498 88172.6 0.914013
266.782 34.2668 367.312 87861.9 0.911712
267.226 35.1929 367.127 87552.3 0.909416
267.671 36.1191 366.942 87243.5 0.907124
268.115 37.0452 366.757 86935.7 0.904837
268.56 37.9713 366.571 86628.8 0.902554
269.004 38.8975 366.386 86322.9 0.900276
269.449 39.8236 366.201 86017.9 0.898003
269.894 40.7497 366.016 85713.8 0.895734
270.338 41.6759 365.831 85410.6 0.89347
270.783 42.602 365.645 85108.4 0.89121
271.227 43.5281 365.46 84807 0.888955
271.672 44.4542 365.275 84506.6 0.886705
272.116 45.3804 365.09 84207.1 0.884459
272.561 46.3065 364.904 83908.5 0.882217
273.005 47.2326 364.719 83610.8 0.879981
273.45 48.1588 364.534 83314 0.877748
273.894 49.0849 364.349 83018.1 0.875521
274.339 50.011 364.164 82723.1 0.873297
274.784 50.9372 363.978 82429.1 0.871079
275.228 51.8633 363.793 82135.9 0.868865
275.673 52.7894 363.608 81843.6 0.866655
276.117 53.7155 363.423 81552.2 0.86445
276.562 54.6417 363.237 81261.7 0.862249
277.006 55.5678 363.052 80972.1 0.860053
277.451 56.4939 362.867 80683.3 0.857861
277.895 57.4201 362.682 80395.5 0.855674
278.34 58.3462 362.496 80108.5 0.853491
278.784 59.2723 362.311 79822.4 0.851313
279.229 60.1985 362.126 79537.2 0.849139
279.674 61.1246 361.941 79252.8 0.846969
280.118 62.0507 361.756 78969.4 0.844804
280.563 62.9769 361.57 78686.8 0.842644
281.007 63.903 361.385 78405 0.840488
281.452 64.8291 361.2 78124.2 0.838336
281.896 65.7552 361.015 77844.2 0.836189
282.341 66.6814 360.829 77565 0.834046
282.785 67.6075 360.644 77286.7 0.831907
283.23 68.5336 360.459 77009.3 0.829773
283.674 69.4598 360.274 76732.7 0.827643
284.119 70.3859 360.089 76457 0.825518
284.563 71.312 359.903 76182.1 0.823397
285.008 72.2382 359.718 75908.1 0.82128
285.453 73.1643 359.533 75634.9 0.819168
285.897 74.0904 359.348 75362.6 0.81706
286.342 75.0165 359.162 75091.1 0.814956
286.786 75.9427 358.977 74820.4 0.812857
287.231 76.8688 358.792 74550.6 0.810762
287.675 77.7949 358.607 74281.6 0.808672
288.12 78.7211 358.422 74013.4 0.806585
288.564 79.6472 358.236 73746.1 0.804503
289.009 80.5733 358.051 73479.6 0.802426
289.453 81.4995 357.866 73213.9 0.800352
289.898 82.4256 357.681 72949.1 0.798283
290.343 83.3517 357.495 72685 0.796218
290.787 84.2778 357.31 72421.8 0.794158
291.232 85.204 357.125 72159.4 0.792102
291.676 86.1301 356.94 71897.9 0.790049
292.121 87.0562 356.754 71637.1 0.788002
292.565 87.9824 356.569 71377.2 0.785958
293.01 88.9085 356.384 71118 0.783919
293.454 89.8346 356.199 70859.7 0.781884
293.899 90.7608 356.014 70602.1 0.779853
294.343 91.6869 355.828 70345.4 0.777826
294.788 92.613 355.643 70089.5 0.775804
